,Survived,Sex,Has_Cabin,IsAlone
0,0,1,0,0
1,1,0,1,0
2,1,0,0,1
3,1,0,1,0
4,0,1,0,1
5,0,1,0,1
6,0,1,1,1
7,0,1,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,1,0
11,1,0,1,1
12,0,1,0,1
13,0,1,0,0
14,0,0,0,1
15,1,0,0,1
16,0,1,0,0
17,1,1,0,1
18,0,0,0,0
19,1,0,0,1
20,0,1,0,1
21,1,1,1,1
22,1,0,0,1
23,1,1,1,1
24,0,0,0,0
25,1,0,0,0
26,0,1,0,1
27,0,1,1,0
28,1,0,0,1
29,0,1,0,1
30,0,1,0,1
31,1,0,1,0
32,1,0,0,1
33,0,1,0,1
34,0,1,0,0
35,0,1,0,0
36,1,1,0,1
37,0,1,0,1
38,0,0,0,0
39,1,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,1,0,1
43,1,0,0,0
44,1,0,0,1
45,0,1,0,1
46,0,1,0,0
47,1,0,0,1
48,0,1,0,0
49,0,0,0,0
50,0,1,0,0
51,0,1,0,1
52,1,0,1,0
53,1,0,0,0
54,0,1,1,0
55,1,1,1,1
56,1,0,0,1
57,0,1,0,1
58,1,0,0,0
59,0,1,0,0
60,0,1,0,1
61,1,0,1,1
62,0,1,1,0
63,0,1,0,0
64,0,1,0,1
65,1,1,0,0
66,1,0,1,1
67,0,1,0,1
68,1,0,0,0
69,0,1,0,0
70,0,1,0,1
71,0,0,0,0
72,0,1,0,1
73,0,1,0,0
74,1,1,0,1
75,0,1,1,1
76,0,1,0,1
77,0,1,0,1
78,1,1,0,0
79,1,0,0,1
80,0,1,0,1
81,1,1,0,1
82,1,0,0,1
83,0,1,0,1
84,1,0,0,1
85,1,0,0,0
86,0,1,0,0
87,0,1,0,1
88,1,0,1,0
89,0,1,0,1
90,0,1,0,1
91,0,1,0,1
92,0,1,1,0
93,0,1,0,0
94,0,1,0,1
95,0,1,0,1
96,0,1,1,1
97,1,1,1,0
98,1,0,0,0
99,0,1,0,0
100,0,0,0,1
101,0,1,0,1
102,0,1,1,0
103,0,1,0,1
104,0,1,0,0
105,0,1,0,1
106,1,0,0,1
107,1,1,0,1
108,0,1,0,1
109,1,0,0,0
110,0,1,1,1
111,0,0,0,0
112,0,1,0,1
113,0,0,0,0
114,0,0,0,1
115,0,1,0,1
116,0,1,0,1
117,0,1,0,0
118,0,1,1,0
119,0,0,0,0
120,0,1,0,0
121,0,1,0,1
122,0,1,0,0
123,1,0,1,1
124,0,1,1,0
125,1,1,0,0
126,0,1,0,1
127,1,1,0,1
128,1,0,1,0
129,0,1,0,1
130,0,1,0,1
131,0,1,0,1
132,0,0,0,0
133,1,0,0,0
134,0,1,0,1
135,0,1,0,1
136,1,0,1,0
137,0,1,1,0
138,0,1,0,1
139,0,1,1,1
140,0,0,0,0
141,1,0,0,1
142,1,0,0,0
143,0,1,0,1
144,0,1,0,1
145,0,1,0,0
146,1,1,0,1
147,0,0,0,0
148,0,1,1,0
149,0,1,0,1
150,0,1,0,1
151,1,0,1,0
152,0,1,0,1
153,0,1,0,0
154,0,1,0,1
155,0,1,0,0
156,1,0,0,1
157,0,1,0,1
158,0,1,0,1
159,0,1,0,0
160,0,1,0,0
161,1,0,0,1
162,0,1,0,1
163,0,1,0,1
164,0,1,0,0
165,1,1,0,0
166,1,0,1,0
167,0,0,0,0
168,0,1,0,1
169,0,1,0,1
170,0,1,1,1
171,0,1,0,0
172,1,0,0,0
173,0,1,0,1
174,0,1,1,1
175,0,1,0,0
176,0,1,0,0
177,0,0,1,1
178,0,1,0,1
179,0,1,0,1
180,0,0,0,0
181,0,1,0,1
182,0,1,0,0
183,1,1,1,0
184,1,0,0,0
185,0,1,1,1
186,1,0,0,0
187,1,1,0,1
188,0,1,0,0
189,0,1,0,1
190,1,0,0,1
191,0,1,0,1
192,1,0,0,0
193,1,1,1,0
194,1,0,1,1
195,1,0,1,1
196,0,1,0,1
197,0,1,0,0
198,1,0,0,1
199,0,0,0,1
200,0,1,0,1
201,0,1,0,0
202,0,1,0,1
203,0,1,0,1
204,1,1,0,1
205,0,0,1,0
206,0,1,0,0
207,1,1,0,1
208,1,0,0,1
209,1,1,1,1
210,0,1,0,1
211,1,0,0,1
212,0,1,0,1
213,0,1,0,1
214,0,1,0,0
215,1,0,1,0
216,1,0,0,1
217,0,1,0,0
218,1,0,1,1
219,0,1,0,1
220,1,1,0,1
221,0,1,0,1
222,0,1,0,1
223,0,1,0,1
224,1,1,1,0
225,0,1,0,1
226,1,1,0,1
227,0,1,0,1
228,0,1,0,1
229,0,0,0,0
230,1,0,1,0
231,0,1,0,1
232,0,1,0,1
233,1,0,0,0
234,0,1,0,1
235,0,0,0,1
236,0,1,0,0
237,1,0,0,0
238,0,1,0,1
239,0,1,0,1
240,0,0,0,0
241,1,0,0,0
242,0,1,0,1
243,0,1,0,1
244,0,1,0,1
245,0,1,1,0
246,0,0,0,1
247,1,0,0,0
248,1,1,1,0
249,0,1,0,0
250,0,1,0,1
251,0,0,1,0
252,0,1,1,1
253,0,1,0,0
254,0,0,0,0
255,1,0,0,0
256,1,0,0,1
257,1,0,1,1
258,1,0,0,1
259,1,0,0,0
260,0,1,0,1
261,1,1,0,0
262,0,1,1,0
263,0,1,1,1
264,0,0,0,1
265,0,1,0,1
266,0,1,0,0
267,1,1,0,0
268,1,0,1,0
269,1,0,1,1
270,0,1,0,1
271,1,1,0,1
272,1,0,0,0
273,0,1,1,0
274,1,0,0,1
275,1,0,1,0
276,0,0,0,1
277,0,1,0,1
278,0,1,0,0
279,1,0,0,0
280,0,1,0,1
281,0,1,0,1
282,0,1,0,1
283,1,1,0,1
284,0,1,1,1
285,0,1,0,1
286,1,1,0,1
287,0,1,0,1
288,1,1,0,1
289,1,0,0,1
290,1,0,0,1
291,1,0,1,0
292,0,1,1,1
293,0,0,0,1
294,0,1,0,1
295,0,1,0,1
296,0,1,0,1
297,0,0,1,0
298,1,1,1,1
299,1,0,1,0
300,1,0,0,1
301,1,1,0,0
302,0,1,0,1
303,1,0,1,1
304,0,1,0,1
305,1,1,1,0
306,1,0,0,1
307,1,0,1,0
308,0,1,0,0
309,1,0,1,1
310,1,0,1,1
311,1,0,1,0
312,0,0,0,0
313,0,1,0,1
314,0,1,0,0
315,1,0,0,1
316,1,0,0,0
317,0,1,0,1
318,1,0,1,0
319,1,0,1,0
320,0,1,0,1
321,0,1,0,1
322,1,0,0,1
323,1,0,0,0
324,0,1,0,0
325,1,0,1,1
326,0,1,0,1
327,1,0,1,1
328,1,0,0,0
329,1,0,1,0
330,1,0,0,0
331,0,1,1,1
332,0,1,1,0
333,0,1,0,0
334,1,0,0,0
335,0,1,0,1
336,0,1,1,0
337,1,0,1,1
338,1,1,0,1
339,0,1,1,1
340,1,1,1,0
341,1,0,1,0
342,0,1,0,1
343,0,1,0,1
344,0,1,0,1
345,1,0,1,1
346,1,0,0,1
347,1,0,0,0
348,1,1,0,0
349,0,1,0,1
350,0,1,0,1
351,0,1,1,1
352,0,1,0,0
353,0,1,0,0
354,0,1,0,1
355,0,1,0,1
356,1,0,1,0
357,0,0,0,1
358,1,0,0,1
359,1,0,0,1
360,0,1,0,0
361,0,1,0,0
362,0,0,0,0
363,0,1,0,1
364,0,1,0,0
365,0,1,0,1
366,1,0,1,0
367,1,0,0,1
368,1,0,0,1
369,1,0,1,1
370,1,1,1,0
371,0,1,0,0
372,0,1,0,1
373,0,1,0,1
374,0,0,0,0
375,1,0,0,0
376,1,0,0,1
377,0,1,1,0
378,0,1,0,1
379,0,1,0,1
380,1,0,0,1
381,1,0,0,0
382,0,1,0,1
383,1,0,0,0
384,0,1,0,1
385,0,1,0,1
386,0,1,0,0
387,1,0,0,1
388,0,1,0,1
389,1,0,0,1
390,1,1,1,0
391,1,1,0,1
392,0,1,0,0
393,1,0,1,0
394,1,0,1,0
395,0,1,0,1
396,0,0,0,1
397,0,1,0,1
398,0,1,0,1
399,1,0,0,1
400,1,1,0,1
401,0,1,0,1
402,0,0,0,0
403,0,1,0,0
404,0,0,0,1
405,0,1,0,0
406,0,1,0,1
407,1,1,0,0
408,0,1,0,1
409,0,0,0,0
410,0,1,0,1
411,0,1,0,1
412,1,0,1,0
413,0,1,0,1
414,1,1,0,1
415,0,0,0,1
416,1,0,0,0
417,1,0,0,0
418,0,1,0,1
419,0,0,0,0
420,0,1,0,1
421,0,1,0,1
422,0,1,0,1
423,0,0,0,0
424,0,1,0,0
425,0,1,0,1
426,1,0,0,0
427,1,0,0,1
428,0,1,0,1
429,1,1,1,1
430,1,1,1,1
431,1,0,0,0
432,1,0,0,0
433,0,1,0,1
434,0,1,1,0
435,1,0,1,0
436,0,0,0,0
437,1,0,0,0
438,0,1,1,0
439,0,1,0,1
440,1,0,0,0
441,0,1,0,1
442,0,1,0,0
443,1,0,0,1
444,1,1,0,1
445,1,1,1,0
446,1,0,0,0
447,1,1,0,1
448,1,0,0,0
449,1,1,1,1
450,0,1,0,0
451,0,1,0,0
452,0,1,1,1
453,1,1,1,0
454,0,1,0,1
455,1,1,0,1
456,0,1,1,1
457,1,0,1,0
458,1,0,0,1
459,0,1,0,1
460,1,1,1,1
461,0,1,0,1
462,0,1,1,1
463,0,1,0,1
464,0,1,0,1
465,0,1,0,1
466,0,1,0,1
467,0,1,0,1
468,0,1,0,1
469,1,0,0,0
470,0,1,0,1
471,0,1,0,1
472,1,0,0,0
473,1,0,1,1
474,0,0,0,1
475,0,1,1,1
476,0,1,0,0
477,0,1,0,0
478,0,1,0,1
479,1,0,0,0
480,0,1,0,0
481,0,1,0,1
482,0,1,0,1
483,1,0,0,1
484,1,1,1,0
485,0,0,0,0
486,1,0,1,0
487,0,1,1,1
488,0,1,0,1
489,1,1,0,0
490,0,1,0,0
491,0,1,0,1
492,0,1,1,1
493,0,1,0,1
494,0,1,0,1
495,0,1,0,1
496,1,0,1,0
497,0,1,0,1
498,0,0,1,0
499,0,1,0,1
500,0,1,0,1
501,0,0,0,1
502,0,0,0,1
503,0,0,0,1
504,1,0,1,1
505,0,1,1,0
506,1,0,0,0
507,1,1,0,1
508,0,1,0,1
509,1,1,0,1
510,1,1,0,1
511,0,1,0,1
512,1,1,1,1
513,1,0,0,0
514,0,1,0,1
515,0,1,1,1
516,1,0,1,1
517,0,1,0,1
518,1,0,0,0
519,0,1,0,1
520,1,0,1,1
521,0,1,0,1
522,0,1,0,1
523,1,0,1,0
524,0,1,0,1
525,0,1,0,1
526,1,0,0,1
527,0,1,1,1
528,0,1,0,1
529,0,1,0,0
530,1,0,0,0
531,0,1,0,1
532,0,1,0,0
533,1,0,0,0
534,0,0,0,1
535,1,0,0,0
536,0,1,1,1
537,1,0,0,1
538,0,1,0,1
539,1,0,1,0
540,1,0,1,0
541,0,0,0,0
542,0,0,0,0
543,1,1,0,0
544,0,1,1,0
545,0,1,0,1
546,1,0,0,0
547,1,1,0,1
548,0,1,0,0
549,1,1,0,0
550,1,1,1,0
551,0,1,0,1
552,0,1,0,1
553,1,1,0,1
554,1,0,0,1
555,0,1,0,1
556,1,0,1,0
557,0,1,0,1
558,1,0,1,0
559,1,0,0,0
560,0,1,0,1
561,0,1,0,1
562,0,1,0,1
563,0,1,0,1
564,0,0,0,1
565,0,1,0,0
566,0,1,0,1
567,0,0,0,0
568,0,1,0,1
569,1,1,0,1
570,1,1,0,1
571,1,0,1,0
572,1,1,1,1
573,1,0,0,1
574,0,1,0,1
575,0,1,0,1
576,1,0,0,1
577,1,0,1,0
578,0,0,0,0
579,1,1,0,1
580,1,0,0,0
581,1,0,1,0
582,0,1,0,1
583,0,1,1,1
584,0,1,0,1
585,1,0,1,0
586,0,1,0,1
587,1,1,1,0
588,0,1,0,1
589,0,1,0,1
590,0,1,0,1
591,1,0,1,0
592,0,1,0,1
593,0,0,0,0
594,0,1,0,0
595,0,1,0,0
596,1,0,0,1
597,0,1,0,1
598,0,1,0,1
599,1,1,1,0
600,1,0,0,0
601,0,1,0,1
602,0,1,0,1
603,0,1,0,1
604,1,1,0,1
605,0,1,0,0
606,0,1,0,1
607,1,1,0,1
608,1,0,0,0
609,1,0,1,1
610,0,0,0,0
611,0,1,0,1
612,1,0,0,0
613,0,1,0,1
614,0,1,0,1
615,1,0,0,0
616,0,1,0,0
617,0,0,0,0
